"evt","SOA","Latency","Offset","evt_num","evt_fin","note"
"DI11",500,97357,500,11,NA,"ignore"
"DIN1",500,97857,500,1,"stand",NA
"DIN1",500,98357,500,1,"stand",NA
"DI20",512,98869,512,20,NA,"not specified - std_aft/nov"
"DI11",500,99369,500,11,NA,"ignore"
"DIN1",500,99869,500,1,"stand",NA
"DIN1",500,100369,500,1,"stand",NA
"DI31",512,100881,512,31,"Dog_A_S?_Dog_V",NA
"DI11",500,101381,500,11,NA,"ignore"
"DIN1",500,101881,500,1,"stand",NA
"DI31",514,102395,514,31,"Dog_A_S?_Dog_V",NA
"DI11",500,102895,500,11,NA,"ignore"
"DIN1",500,103395,500,1,"stand",NA
"DI10",513,103908,513,10,NA,"not specified - std_aft/nov"
"D202",474,104382,474,202,"Response",NA
"DI11",26,104408,26,11,NA,"ignore"
"DIN1",500,104908,500,1,"stand",NA
"DIN1",500,105408,500,1,"stand",NA
"DI32",511,105919,511,32,"Dog_A_S?_Cat_V",NA
"DI11",500,106419,500,11,NA,"ignore"
"DIN1",500,106919,500,1,"stand",NA
"DIN1",500,107419,500,1,"stand",NA
"DI32",512,107931,512,32,"Dog_A_S?_Cat_V",NA
"DI11",500,108431,500,11,NA,"ignore"
"DIN1",500,108931,500,1,"stand",NA
"DIN1",500,109431,500,1,"stand",NA
"DI32",511,109942,511,32,"Dog_A_S?_Cat_V",NA
"DI11",500,110442,500,11,NA,"ignore"
"DIN1",500,110942,500,1,"stand",NA
"DI20",514,111456,514,20,NA,"not specified - std_aft/nov"
"DI11",500,111956,500,11,NA,"ignore"
"DIN1",500,112456,500,1,"stand",NA
"DIN1",500,112956,500,1,"stand",NA
"DI31",511,113467,511,31,"Dog_A_S?_Dog_V",NA
"DI11",500,113967,500,11,NA,"ignore"
"DIN1",500,114467,500,1,"stand",NA
"DIN1",500,114967,500,1,"stand",NA
"DI31",511,115478,511,31,"Dog_A_S?_Dog_V",NA
"DI11",500,115978,500,11,NA,"ignore"
"DIN1",500,116478,500,1,"stand",NA
"DI31",514,116992,514,31,"Dog_A_S?_Dog_V",NA
"DI11",500,117492,500,11,NA,"ignore"
"DIN1",500,117992,500,1,"stand",NA
"DIN1",500,118492,500,1,"stand",NA
"DI10",511,119003,511,10,NA,"not specified - std_aft/nov"
"D202",387,119390,387,202,"Response",NA
"DI11",113,119503,113,11,NA,"ignore"
"DIN1",500,120003,500,1,"stand",NA
"DIN1",500,120503,500,1,"stand",NA
"DI21",512,121015,512,21,"Cat_A_S?_Cat_V",NA
"DI11",500,121515,500,11,NA,"ignore"
"DIN1",500,122015,500,1,"stand",NA
"DI32",513,122528,513,32,"Dog_A_S?_Cat_V",NA
"DI11",500,123028,500,11,NA,"ignore"
"DIN1",500,123528,500,1,"stand",NA
"DI20",514,124042,514,20,NA,"not specified - std_aft/nov"
"DI11",500,124542,500,11,NA,"ignore"
"DIN1",500,125042,500,1,"stand",NA
"DIN1",500,125542,500,1,"stand",NA
"DI31",511,126053,511,31,"Dog_A_S?_Dog_V",NA
"DI11",500,126553,500,11,NA,"ignore"
"DIN1",500,127053,500,1,"stand",NA
"DIN1",500,127553,500,1,"stand",NA
"DI22",512,128065,512,22,"Cat_A_S?_Dog_V",NA
"DI11",500,128565,500,11,NA,"ignore"
"DIN1",500,129065,500,1,"stand",NA
"DI31",513,129578,513,31,"Dog_A_S?_Dog_V",NA
"DI11",500,130078,500,11,NA,"ignore"
"DIN1",500,130578,500,1,"stand",NA
"DIN1",500,131078,500,1,"stand",NA
"DI10",512,131590,512,10,NA,"not specified - std_aft/nov"
"D202",376,131966,376,202,"Response",NA
"DI11",125,132091,125,11,NA,"ignore"
"DIN1",500,132591,500,1,"stand",NA
"DIN1",500,133091,500,1,"stand",NA
"DI21",511,133602,511,21,"Cat_A_S?_Cat_V",NA
"DI11",500,134102,500,11,NA,"ignore"
"DIN1",500,134602,500,1,"stand",NA
"DI21",514,135116,514,21,"Cat_A_S?_Cat_V",NA
"DI11",500,135616,500,11,NA,"ignore"
"DIN1",500,136116,500,1,"stand",NA
"DIN1",500,136616,500,1,"stand",NA
