"evt","SOA","Latency","Offset","evt_num","evt_fin","note"
"DIN5",500,143347,500,5,"dur",NA
"DIN1",500,143847,500,1,"stand",NA
"DIN7",500,144347,500,7,"loc2","2 = right?"
"DIN1",500,144847,500,1,"stand",NA
"DIN8",500,145347,500,8,"gap",NA
"DIN1",500,145847,500,1,"stand",NA
"DIN2",500,146347,500,2,"freq1","1 = up?"
"DIN1",500,146847,500,1,"stand",NA
"DIN7",500,147347,500,7,"loc2","2 = right?"
"DIN1",500,147847,500,1,"stand",NA
"DIN5",500,148347,500,5,"dur",NA
"DIN1",500,148847,500,1,"stand",NA
"DIN8",500,149347,500,8,"gap",NA
"DIN1",500,149847,500,1,"stand",NA
"DIN4",500,150347,500,4,"int",NA
"DIN1",500,150847,500,1,"stand",NA
"DIN7",500,151347,500,7,"loc2","2 = right?"
"DIN1",500,151847,500,1,"stand",NA
"DIN9",500,152347,500,9,"novel",NA
"DIN1",500,152847,500,1,"stand",NA
"DIN8",500,153347,500,8,"gap",NA
"DIN1",500,153847,500,1,"stand",NA
"DIN3",500,154347,500,3,"freq2","2 = down?"
"DIN1",501,154848,501,1,"stand",NA
"DIN5",500,155348,500,5,"dur",NA
"DIN1",500,155848,500,1,"stand",NA
"DIN3",500,156348,500,3,"freq2","2 = down?"
"DIN1",500,156848,500,1,"stand",NA
"DIN9",500,157348,500,9,"novel",NA
"DIN1",500,157848,500,1,"stand",NA
"DIN4",500,158348,500,4,"int",NA
"DIN1",500,158848,500,1,"stand",NA
"DIN8",500,159348,500,8,"gap",NA
"DIN1",500,159848,500,1,"stand",NA
"DIN4",500,160348,500,4,"int",NA
"DIN1",500,160848,500,1,"stand",NA
"DIN5",500,161348,500,5,"dur",NA
"DIN1",500,161848,500,1,"stand",NA
"DIN9",500,162348,500,9,"novel",NA
"DIN1",500,162848,500,1,"stand",NA
"DIN5",500,163348,500,5,"dur",NA
"DIN1",500,163848,500,1,"stand",NA
"DIN4",500,164348,500,4,"int",NA
"DIN1",500,164848,500,1,"stand",NA
"DIN9",500,165348,500,9,"novel",NA
"DIN1",500,165848,500,1,"stand",NA
"DIN6",500,166348,500,6,"loc1","1 = left?"
"DIN1",500,166848,500,1,"stand",NA
"DIN2",500,167348,500,2,"freq1","1 = up?"
"DIN1",500,167848,500,1,"stand",NA
"DIN7",500,168348,500,7,"loc2","2 = right?"
"DIN1",500,168848,500,1,"stand",NA
"DIN8",500,169348,500,8,"gap",NA
"DIN1",500,169848,500,1,"stand",NA
"DIN5",501,170349,501,5,"dur",NA
"DIN1",500,170849,500,1,"stand",NA
"DIN8",500,171349,500,8,"gap",NA
"DIN1",500,171849,500,1,"stand",NA
"DIN7",500,172349,500,7,"loc2","2 = right?"
"DIN1",500,172849,500,1,"stand",NA
"DIN5",500,173349,500,5,"dur",NA
"DIN1",500,173849,500,1,"stand",NA
"DIN9",500,174349,500,9,"novel",NA
"DIN1",500,174849,500,1,"stand",NA
"DIN2",500,175349,500,2,"freq1","1 = up?"
"DIN1",500,175849,500,1,"stand",NA
"DIN4",500,176349,500,4,"int",NA
"DIN1",500,176849,500,1,"stand",NA
"DIN3",500,177349,500,3,"freq2","2 = down?"
"DIN1",500,177849,500,1,"stand",NA
"DIN9",500,178349,500,9,"novel",NA
"DIN1",500,178849,500,1,"stand",NA
"DIN4",500,179349,500,4,"int",NA
"DIN1",500,179849,500,1,"stand",NA
"DIN9",500,180349,500,9,"novel",NA
"DIN1",500,180849,500,1,"stand",NA
"DIN5",500,181349,500,5,"dur",NA
"DIN1",500,181849,500,1,"stand",NA
"DIN7",500,182349,500,7,"loc2","2 = right?"
"DIN1",500,182849,500,1,"stand",NA
"DIN3",500,183349,500,3,"freq2","2 = down?"
"DIN1",500,183849,500,1,"stand",NA
"DIN4",500,184349,500,4,"int",NA
"DIN1",500,184849,500,1,"stand",NA
"DIN6",501,185350,501,6,"loc1","1 = left?"
"DIN1",500,185850,500,1,"stand",NA
"DIN8",500,186350,500,8,"gap",NA
"DIN1",500,186850,500,1,"stand",NA
"DIN4",500,187350,500,4,"int",NA
"DIN1",500,187850,500,1,"stand",NA
"DIN3",500,188350,500,3,"freq2","2 = down?"
"DIN1",500,188850,500,1,"stand",NA
"DIN8",500,189350,500,8,"gap",NA
"DIN1",500,189850,500,1,"stand",NA
"DIN9",500,190350,500,9,"novel",NA
"DIN1",500,190850,500,1,"stand",NA
"DIN5",500,191350,500,5,"dur",NA
"DIN1",500,191850,500,1,"stand",NA
"DIN7",500,192350,500,7,"loc2","2 = right?"
"DIN1",500,192850,500,1,"stand",NA
"DIN8",500,193350,500,8,"gap",NA
"DIN1",500,193850,500,1,"stand",NA
"DIN9",500,194350,500,9,"novel",NA
"DIN1",500,194850,500,1,"stand",NA
"DIN4",500,195350,500,4,"int",NA
"DIN1",500,195850,500,1,"stand",NA
"DIN8",500,196350,500,8,"gap",NA
"DIN1",500,196850,500,1,"stand",NA
"DIN4",500,197350,500,4,"int",NA
"DIN1",500,197850,500,1,"stand",NA
"DIN7",500,198350,500,7,"loc2","2 = right?"
"DIN1",500,198850,500,1,"stand",NA
"DIN9",500,199350,500,9,"novel",NA
"DIN1",500,199850,500,1,"stand",NA
"DIN8",501,200351,501,8,"gap",NA
"DIN1",500,200851,500,1,"stand",NA
"DIN5",500,201351,500,5,"dur",NA
"DIN1",500,201851,500,1,"stand",NA
"DIN8",500,202351,500,8,"gap",NA
"DIN1",500,202851,500,1,"stand",NA
"DIN6",500,203351,500,6,"loc1","1 = left?"
"DIN1",500,203851,500,1,"stand",NA
"DIN8",500,204351,500,8,"gap",NA
"DIN1",500,204851,500,1,"stand",NA
"DIN6",500,205351,500,6,"loc1","1 = left?"
"DIN1",500,205851,500,1,"stand",NA
"DIN2",500,206351,500,2,"freq1","1 = up?"
"DIN1",500,206851,500,1,"stand",NA
"DIN9",500,207351,500,9,"novel",NA
"DIN1",500,207851,500,1,"stand",NA
"DIN4",500,208351,500,4,"int",NA
"DIN1",500,208851,500,1,"stand",NA
"DIN3",500,209351,500,3,"freq2","2 = down?"
"DIN1",500,209851,500,1,"stand",NA
"DIN4",500,210351,500,4,"int",NA
"DIN1",500,210851,500,1,"stand",NA
"DIN2",500,211351,500,2,"freq1","1 = up?"
"DIN1",500,211851,500,1,"stand",NA
"DIN5",500,212351,500,5,"dur",NA
"DIN1",500,212851,500,1,"stand",NA
"DIN2",500,213351,500,2,"freq1","1 = up?"
"DIN1",500,213851,500,1,"stand",NA
"DIN9",500,214351,500,9,"novel",NA
"DIN1",501,214852,501,1,"stand",NA
"DIN5",500,215352,500,5,"dur",NA
"DIN1",500,215852,500,1,"stand",NA
"DIN7",500,216352,500,7,"loc2","2 = right?"
"DIN1",500,216852,500,1,"stand",NA
"DIN5",500,217352,500,5,"dur",NA
"DIN1",500,217852,500,1,"stand",NA
"DIN2",500,218352,500,2,"freq1","1 = up?"
"DIN1",500,218852,500,1,"stand",NA
"DIN9",500,219352,500,9,"novel",NA
"DIN1",500,219852,500,1,"stand",NA
"DIN6",500,220352,500,6,"loc1","1 = left?"
"DIN1",500,220852,500,1,"stand",NA
"DIN3",500,221352,500,3,"freq2","2 = down?"
"DIN1",500,221852,500,1,"stand",NA
"DIN8",500,222352,500,8,"gap",NA
"DIN1",500,222852,500,1,"stand",NA
"DIN4",500,223352,500,4,"int",NA
"DIN1",500,223852,500,1,"stand",NA
"DIN9",500,224352,500,9,"novel",NA
"DIN1",500,224852,500,1,"stand",NA
"DIN4",500,225352,500,4,"int",NA
"DIN1",500,225852,500,1,"stand",NA
"DIN9",500,226352,500,9,"novel",NA
"DIN1",500,226852,500,1,"stand",NA
"DIN4",500,227352,500,4,"int",NA
"DIN1",500,227852,500,1,"stand",NA
"DIN5",500,228352,500,5,"dur",NA
"DIN1",500,228852,500,1,"stand",NA
"DIN2",500,229352,500,2,"freq1","1 = up?"
"DIN1",501,229853,501,1,"stand",NA
"DIN8",500,230353,500,8,"gap",NA
"DIN1",500,230853,500,1,"stand",NA
"DIN7",500,231353,500,7,"loc2","2 = right?"
"DIN1",500,231853,500,1,"stand",NA
"DIN5",500,232353,500,5,"dur",NA
"DIN1",500,232853,500,1,"stand",NA
"DIN2",500,233353,500,2,"freq1","1 = up?"
"DIN1",500,233853,500,1,"stand",NA
"DIN9",500,234353,500,9,"novel",NA
"DIN1",500,234853,500,1,"stand",NA
"DIN8",500,235353,500,8,"gap",NA
"DIN1",500,235853,500,1,"stand",NA
"DIN4",500,236353,500,4,"int",NA
"DIN1",500,236853,500,1,"stand",NA
"DIN8",500,237353,500,8,"gap",NA
"DIN1",500,237853,500,1,"stand",NA
"DIN5",500,238353,500,5,"dur",NA
"DIN1",500,238853,500,1,"stand",NA
"DIN7",500,239353,500,7,"loc2","2 = right?"
"DIN1",500,239853,500,1,"stand",NA
"DIN5",500,240353,500,5,"dur",NA
"DIN1",500,240853,500,1,"stand",NA
"DIN6",500,241353,500,6,"loc1","1 = left?"
"DIN1",500,241853,500,1,"stand",NA
"DIN8",500,242353,500,8,"gap",NA
"DIN1",500,242853,500,1,"stand",NA
"DIN5",500,243353,500,5,"dur",NA
"DIN1",500,243853,500,1,"stand",NA
"DIN3",500,244353,500,3,"freq2","2 = down?"
"DIN1",500,244853,500,1,"stand",NA
"DIN7",501,245354,501,7,"loc2","2 = right?"
"DIN1",500,245854,500,1,"stand",NA
"DIN9",500,246354,500,9,"novel",NA
"DIN1",500,246854,500,1,"stand",NA
"DIN5",500,247354,500,5,"dur",NA
"DIN1",500,247854,500,1,"stand",NA
"DIN8",500,248354,500,8,"gap",NA
"DIN1",500,248854,500,1,"stand",NA
"DIN4",500,249354,500,4,"int",NA
"DIN1",500,249854,500,1,"stand",NA
"DIN5",500,250354,500,5,"dur",NA
"DIN1",500,250854,500,1,"stand",NA
"DIN4",500,251354,500,4,"int",NA
"DIN1",500,251854,500,1,"stand",NA
"DIN9",500,252354,500,9,"novel",NA
"DIN1",500,252854,500,1,"stand",NA
"DIN8",500,253354,500,8,"gap",NA
