"evt","SOA","Latency","Offset","evt_num","evt_descr","note"
"DIN3",180,535744,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,536104,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,536284,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,536644,360,4,"std_timbre","standard for timbre"
"DIN1",710,537354,710,1,"std_key","standard for key"
"DIN2",360,537714,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,537894,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,538254,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,538434,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,538794,360,4,"std_timbre","standard for timbre"
"DIN5",710,539504,710,5,"key","key change"
"DI22",360,539864,360,22,NA,NA
"DI23",180,540044,180,23,NA,NA
"DI22",360,540404,360,22,NA,NA
"DI23",180,540584,180,23,NA,NA
"DI24",360,540944,360,24,NA,NA
"DIN1",710,541654,710,1,"std_key","standard for key"
"DIN2",360,542014,360,2,"std_rhythm","standard for rhythm"
"DI10",180,542194,180,10,"rhythm2","rhythm change (short tone)"
"DI14",180,542374,180,14,NA,NA
"DIN3",360,542734,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,543094,360,4,"std_timbre","standard for timbre"
"DIN1",710,543804,710,1,"std_key","standard for key"
"DIN2",360,544164,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,544344,180,2,"std_rhythm","standard for rhythm"
"DIN6",180,544524,180,6,"melody","melody change"
"DI14",360,544884,360,14,NA,NA
"DIN4",360,545244,360,4,"std_timbre","standard for timbre"
"DIN5",710,545954,710,5,"key","key change"
"DI22",360,546314,360,22,NA,NA
"DI22",180,546494,180,22,NA,NA
"DI23",180,546674,180,23,NA,NA
"DI23",360,547034,360,23,NA,NA
"DIN9",360,547394,360,9,"timbre2","timbre (end of melody)"
"DIN1",700,548094,700,1,"std_key","standard for key"
"DIN2",360,548454,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,548634,180,2,"std_rhythm","standard for rhythm"
"DIN6",180,548814,180,6,"melody","melody change"
"DI14",360,549174,360,14,NA,NA
"DI15",360,549534,360,15,NA,NA
"DIN5",710,550244,710,5,"key","key change"
"D101",360,550604,360,101,"rhythm1","rhythm change (long tone)"
